RX Date/Time,(Mission Status) Flight state [-],(Mission Status) Runtime [ms],(Mission Status) Soft enabled [-],(Mission Status) Armed [-],(Mission Status) BW connected [-],(Mission Status) Camera enabled [-],(RF status) Packet count,(RF status) RSSI [dB],(RF status) CRC error [-],(RF status) Packet delay [ms],(RF status) Selected antenna [-],(Sensor Readings) Temperature [°C],(Sensor Readings) Altitude [m],(Sensor Readings) Pressure [KPa],(Sensor Readings) Battery voltage [V],(Sensor Readings) External Temperature [°C],(GPS) GPS Time,(GPS) Longitude [°N],(GPS) Latitude [°E],(GPS) Altitude [m],(GPS) No. Sats,(Accelerometer) X [m/s^2],(Accelerometer) Y [m/s^2],(Accelerometer) Z [m/s^2],(Gyroscope) X [rad/s],(Gyroscope) Y [rad/s],(Gyroscope) Z [rad/s],(Orientation) w [-],(Orientation) x [-],(Orientation) y [-],(Orientation) z [-]
2021/05/28/ 09:25:52::603,1,2398,0,1,0,0,79,-98,0,25,1,20.25,0,101.980003,8.21,20.25,2398,5.922696,52.394821,0,0,0.545564,8.116454,-6.144769,-0.053756,0.002443,-0.008552,0,0.002443,-0.053756,-6.144769
2021/05/28/ 09:25:52::693,1,2515,0,1,0,0,80,-97,0,117,1,20.25,0,101.980003,8.22,20.25,2515,5.922696,52.394821,0,0,-1.70369,10.260424,2.45025,-0.031765,0.003665,0.0281,0,0.003665,-0.031765,2.45025
2021/05/28/ 09:25:52::733,1,2540,0,1,0,0,81,-97,0,25,1,20.25,0,101.980003,8.21,20.25,2540,5.922696,52.394821,0,0,1.100698,11.19841,4.383651,0.017104,0.053756,0.030543,0,0.053756,0.017104,4.383651
2021/05/28/ 09:25:52::778,1,2565,0,1,0,0,82,-97,0,25,1,20.25,0,101.980003,8.21,20.25,2565,5.922696,52.394821,0,0,1.311267,9.638289,-1.665405,0.031765,0.089186,0.012217,0,0.089186,0.031765,-1.665405
2021/05/28/ 09:25:52::778,1,2590,0,1,0,0,83,-96,0,25,1,20.25,0,101.980003,8.22,20.25,2590,5.922696,52.394821,0,0,-0.401994,9.379865,-2.469393,0.029322,-0.023213,0.015882,0,-0.023213,0.029322,-2.469393
2021/05/28/ 09:25:52::827,1,2615,0,1,0,0,84,-97,0,25,1,20.25,0,101.980003,8.21,20.25,2615,5.922696,52.394821,0,0,0.995414,9.638289,-1.674976,0.054978,-0.059865,0.030543,0,-0.059865,0.054978,-1.674976
2021/05/28/ 09:25:52::827,1,2640,0,1,0,0,85,-96,0,25,1,20.25,0,101.980003,8.22,20.25,2640,5.922696,52.394821,0,0,-0.133998,10.356136,1.981257,0.029322,0.07086,0.042761,0,0.07086,0.029322,1.981257
2021/05/28/ 09:25:52::875,1,2665,0,1,0,0,86,-96,0,25,1,20.25,0,101.980003,8.22,20.25,2665,5.922696,52.394821,0,0,0.440279,9.437292,0.861416,-0.017104,-0.002443,0.039095,0,-0.002443,-0.017104,0.861416
2021/05/28/ 09:25:52::876,1,2690,0,1,0,0,87,-97,0,25,1,20.25,0,101.980003,8.22,20.25,2690,5.922696,52.394821,0,0,-0.660419,10.557134,2.718246,0.004887,-0.112399,0.017104,0,-0.112399,0.004887,2.718246
2021/05/28/ 09:25:52::962,1,2715,0,1,0,0,88,-97,0,25,1,20.25,0.0625,101.980003,8.22,20.25,2715,5.922696,52.394821,0.0625,0,1.043271,11.207981,-0.191426,-0.042761,-0.062308,-0.014661,0,-0.062308,-0.042761,-0.191426
2021/05/28/ 09:25:52::963,1,2740,0,1,0,0,89,-97,0,25,1,20.25,0,101.980003,8.22,20.25,2740,5.922696,52.394821,0,0,-0.133998,9.408579,-1.330409,-0.107512,0.111177,0.006109,0,0.111177,-0.107512,-1.330409
2021/05/28/ 09:25:52::963,1,2765,0,1,0,0,90,-97,1,25,1,20.25,0,101.980003,8.22,20.25,2765,5.922696,52.394821,0,0,0.009571,10.394422,-1.512264,-0.057421,0.138056,-0.006109,0,0.138056,-0.057421,-1.512264
2021/05/28/ 09:25:53::040,1,2790,0,1,0,0,91,-97,0,25,1,20.25,0,101.981003,8.2,20.25,2790,5.922696,52.394821,0,0,0.095713,9.877572,-0.095713,-0.039095,-0.058643,-0.047647,0,-0.058643,-0.039095,-0.095713
2021/05/28/ 09:25:53::040,1,2815,0,1,0,0,92,-97,0,25,1,20.25,0,101.980003,8.22,20.25,2815,5.922696,52.394821,0,0,0.497707,9.695718,0.717847,-0.059865,-0.092852,-0.06353,0,-0.092852,-0.059865,0.717847
2021/05/28/ 09:25:53::040,1,2840,0,1,0,0,93,-98,0,25,1,20.25,0.0625,101.980003,8.23,20.25,2840,5.922696,52.394821,0.0625,0,-0.823131,8.815159,-0.363709,-0.008552,0.015882,-0.039095,0,0.015882,-0.008552,-0.363709
2021/05/28/ 09:25:53::091,1,2865,0,1,0,0,94,-96,1,25,1,20.25,1536,101.981003,8.22,20.25,2865,5.922696,52.394821,1536,0,-0.239282,9.71486,0.07657,0.002443,0.094073,-0.023213,0,0.094073,0.002443,0.07657
